Date,Price,Open,High,Low,Vol.,Change %
02/17/2023,82.75,82.703,82.872,82.703,,0.05%
02/16/2023,82.71,82.719,82.845,82.59,,-0.05%
02/15/2023,82.75,82.842,82.972,82.765,,-0.19%
02/14/2023,82.91,82.597,83.047,82.565,,0.39%
02/13/2023,82.592,82.582,82.788,82.577,,0.10%
02-10-2023,82.51,82.535,82.644,82.33,,0.00%
02-09-2023,82.511,82.656,82.679,82.402,,-0.17%
02-08-2023,82.65,82.734,82.761,82.472,,-0.25%
02-07-2023,82.86,82.755,82.906,82.618,,0.15%
02-06-2023,82.74,82.388,82.85,82.316,,0.65%
02-03-2023,82.206,82.044,82.326,81.745,,0.20%
02-02-2023,82.039,81.698,82.272,81.685,,0.38%
02-01-2023,81.73,81.765,82.041,81.676,,-0.01%
01/31/2023,81.739,81.599,82.079,81.55,,0.27%
01/30/2023,81.52,81.548,81.725,81.461,,0.01%
01/27/2023,81.51,81.509,81.679,81.473,,0.11%
01/26/2023,81.418,81.531,81.578,81.355,,-0.09%
01/25/2023,81.491,81.602,81.78,81.477,,-0.13%
01/24/2023,81.594,81.488,81.77,81.41,,0.14%
01/23/2023,81.478,80.933,81.509,80.874,,0.62%
01/20/2023,80.979,81.281,81.31,80.973,,-0.32%
01/19/2023,81.24,81.44,81.455,81.207,,-0.25%
01/18/2023,81.44,81.675,81.829,81.163,,-0.23%
01/17/2023,81.63,81.71,81.889,81.547,,0.00%
01/16/2023,81.628,81.227,81.749,81.197,,0.43%
01/13/2023,81.28,81.115,81.522,81.115,,0.22%
01-12-2023,81.1,81.657,81.754,81.11,,-0.66%
01-11-2023,81.637,81.625,81.83,81.496,,0.04%
01-10-2023,81.602,82.185,82.317,81.604,,-0.69%
01-09-2023,82.17,82.234,82.454,82.095,,-0.12%
01-06-2023,82.27,82.604,82.785,82.275,,-0.36%
01-05-2023,82.568,82.74,82.808,82.426,,-0.09%
01-04-2023,82.641,82.779,82.919,82.667,,-0.16%
01-03-2023,82.774,82.698,83.038,82.654,,0.04%
01-02-2023,82.745,82.67,82.8,82.56,,0.03%
12/30/2022,82.717,82.787,82.829,82.539,,-0.05%
12/29/2022,82.758,82.847,82.901,82.754,,0.03%
12/28/2022,82.736,82.84,82.93,82.747,,-0.11%
12/27/2022,82.83,82.675,82.909,82.655,,0.22%
12/26/2022,82.65,82.775,82.847,82.627,,-0.16%
12/23/2022,82.78,82.88,82.902,82.742,,-0.22%
12/22/2022,82.96,82.825,82.989,82.643,,0.10%
12/21/2022,82.88,82.73,82.933,82.654,,0.34%
12/20/2022,82.6,82.582,82.885,82.564,,-0.06%
12/19/2022,82.649,82.775,82.832,82.565,,-0.07%
